IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),国家代码
8.212.65.162,4,4,0.00,60.76,0.00,HK
8.212.14.90,4,4,0.00,62.13,0.00,HK
47.57.245.232,4,4,0.00,62.72,0.00,HK
8.219.255.49,4,4,0.00,92.11,0.00,SG
8.219.243.132,4,4,0.00,92.77,0.00,SG
8.219.97.248,4,4,0.00,94.57,0.00,SG
8.219.63.79,4,4,0.00,95.03,0.00,SG
146.56.96.206,4,4,0.00,99.11,0.00,KR
146.56.110.3,4,4,0.00,105.78,0.00,KR
8.220.134.136,4,4,0.00,106.03,0.00,PH
144.24.95.220,4,4,0.00,108.25,0.00,KR
152.67.190.105,4,4,0.00,143.03,0.00,IN
144.24.140.37,4,4,0.00,143.94,0.00,IN
141.148.203.6,4,4,0.00,154.30,0.00,IN
141.144.197.136,4,4,0.00,175.45,0.00,NL
152.67.99.162,4,4,0.00,179.91,0.00,AU
155.248.182.161,4,4,0.00,181.93,0.00,JP
192.9.180.162,4,4,0.00,183.36,0.00,AU
141.147.160.166,4,4,0.00,183.73,0.00,JP
141.147.185.208,4,4,0.00,184.95,0.00,JP
152.67.125.161,4,4,0.00,185.17,0.00,AU
141.147.147.28,4,4,0.00,193.86,0.00,JP
150.230.63.93,4,4,0.00,202.19,0.00,JP
141.144.201.12,4,4,0.00,208.74,0.00,NL
129.153.203.62,4,4,0.00,208.80,0.00,US
141.144.196.32,4,4,0.00,211.47,0.00,NL
193.123.254.142,4,4,0.00,213.65,0.00,KR
132.226.16.97,4,4,0.00,215.51,0.00,KR
193.123.35.178,4,4,0.00,219.15,0.00,NL
152.70.93.246,4,4,0.00,220.58,0.00,KR
141.145.205.115,4,4,0.00,226.05,0.00,FR
8.222.213.251,4,4,0.00,230.02,0.00,SG
47.74.155.26,4,4,0.00,230.25,0.00,SG
8.222.223.112,4,4,0.00,232.05,0.00,SG
8.222.169.19,4,4,0.00,232.24,0.00,SG
130.61.124.127,4,4,0.00,232.32,0.00,DE
129.150.53.218,4,4,0.00,234.43,0.00,SG
130.162.34.176,4,4,0.00,244.25,0.00,DE
152.70.51.3,4,4,0.00,244.98,0.00,NL
150.230.121.114,4,4,0.00,248.33,0.00,GB
152.67.142.42,4,4,0.00,252.96,0.00,GB
141.147.71.121,4,4,0.00,253.92,0.00,GB
132.145.245.100,4,4,0.00,256.65,0.00,DE
129.151.198.3,4,4,0.00,258.72,0.00,SE
193.122.58.158,4,4,0.00,264.72,0.00,DE
143.47.189.30,4,4,0.00,267.82,0.00,NL
130.162.165.64,4,4,0.00,272.76,0.00,GB
130.162.209.188,4,4,0.00,274.03,0.00,DE
141.147.71.187,4,4,0.00,275.07,0.00,GB
152.67.140.249,4,4,0.00,275.72,0.00,GB
141.148.245.210,4,4,0.00,276.73,0.00,NL
141.148.235.197,4,4,0.00,287.78,0.00,NL
141.147.47.32,4,4,0.00,299.07,0.00,DE
144.21.59.145,4,4,0.00,301.54,0.00,GB
152.70.59.138,4,4,0.00,305.21,0.00,NL
143.47.183.52,4,4,0.00,309.84,0.00,NL
141.148.230.89,4,4,0.00,315.95,0.00,NL
132.226.163.224,4,4,0.00,393.62,0.00,BR
47.57.233.126,4,3,0.25,61.49,0.00,HK
8.219.236.218,4,3,0.25,93.90,0.00,SG
8.219.228.81,4,3,0.25,94.17,0.00,SG
8.219.245.214,4,3,0.25,95.26,0.00,SG
158.180.75.201,4,3,0.25,100.32,0.00,KR
155.248.248.205,4,3,0.25,143.98,0.00,IN
150.230.204.132,4,3,0.25,181.75,0.00,JP
155.248.169.118,4,3,0.25,183.63,0.00,JP
155.248.178.95,4,3,0.25,183.87,0.00,JP
155.248.170.249,4,3,0.25,189.88,0.00,JP
141.144.198.93,4,3,0.25,200.93,0.00,NL
141.144.198.121,4,3,0.25,204.22,0.00,NL
47.254.86.133,4,3,0.25,209.72,0.00,US
152.70.240.162,4,3,0.25,210.44,0.00,KR
152.70.253.44,4,3,0.25,211.67,0.00,KR
132.145.94.80,4,3,0.25,212.98,0.00,KR
47.251.95.178,4,3,0.25,213.77,0.00,US
146.56.172.166,4,3,0.25,216.30,0.00,KR
131.186.27.112,4,3,0.25,216.35,0.00,KR
129.154.202.229,4,3,0.25,221.05,0.00,KR
8.222.219.140,4,3,0.25,227.41,0.00,SG
152.69.209.132,4,3,0.25,230.81,0.00,SG
129.154.194.191,4,3,0.25,230.85,0.00,KR
8.222.255.80,4,3,0.25,231.89,0.00,SG
8.222.139.227,4,3,0.25,231.93,0.00,SG
8.222.129.215,4,3,0.25,233.81,0.00,SG
150.230.123.106,4,3,0.25,237.83,0.00,GB
130.162.174.117,4,3,0.25,245.36,0.00,GB
47.253.171.149,4,3,0.25,263.11,0.00,US
150.136.87.192,4,3,0.25,263.78,0.00,US
143.47.247.120,4,3,0.25,264.14,0.00,GB
168.138.165.174,4,3,0.25,264.79,0.00,SG
141.147.85.167,4,3,0.25,277.42,0.00,GB
144.24.174.149,4,3,0.25,283.14,0.00,DE
152.67.151.176,4,3,0.25,290.60,0.00,GB
150.230.118.203,4,3,0.25,299.39,0.00,GB
144.21.42.2,4,3,0.25,300.96,0.00,NL
144.22.252.124,4,3,0.25,388.79,0.00,BR
8.212.12.98,4,2,0.50,60.72,0.00,HK
8.219.254.1,4,2,0.50,95.43,0.00,SG
150.230.194.74,4,2,0.50,183.73,0.00,JP
140.238.31.168,4,2,0.50,222.44,0.00,KR
138.2.81.71,4,2,0.50,227.03,0.00,SG
8.222.165.104,4,2,0.50,230.92,0.00,SG
132.226.234.102,4,1,0.75,213.68,0.00,KR
